x,y,landsat71_2
48735.434774641166,-352235.872415971,99.35
49335.434774641166,-352235.872415971,92.0075
49935.434774641166,-352235.872415971,80.5525
50535.434774641166,-352235.872415971,77.6025
51135.434774641166,-352235.872415971,71.1175
-59264.565225358834,-352835.872415971,48.28
-58664.565225358834,-352835.872415971,48.555
-58064.565225358834,-352835.872415971,49.4225
-57464.565225358834,-352835.872415971,51.1925
-56864.565225358834,-352835.872415971,56.5875
-56264.565225358834,-352835.872415971,110.485
-55664.565225358834,-352835.872415971,135.9825
-55064.565225358834,-352835.872415971,84.2375
-54464.565225358834,-352835.872415971,74.78
-53864.565225358834,-352835.872415971,73.0275
-53264.565225358834,-352835.872415971,68.655
-52664.565225358834,-352835.872415971,66.19
-52064.565225358834,-352835.872415971,72.09
-51464.565225358834,-352835.872415971,71.035
-50864.565225358834,-352835.872415971,69.055
-50264.565225358834,-352835.872415971,70.9075
-49664.565225358834,-352835.872415971,71.9325
-49064.565225358834,-352835.872415971,71.7675
-48464.565225358834,-352835.872415971,73.18
-47864.565225358834,-352835.872415971,70.4325
-47264.565225358834,-352835.872415971,71.505
-46664.565225358834,-352835.872415971,67.7325
-46064.565225358834,-352835.872415971,72.895
-45464.565225358834,-352835.872415971,67.9225
-44864.565225358834,-352835.872415971,64.98
-44264.565225358834,-352835.872415971,66.2925
-43664.565225358834,-352835.872415971,63.7825
-43064.565225358834,-352835.872415971,77.775
-42464.565225358834,-352835.872415971,66.195
-41864.565225358834,-352835.872415971,68.5975
-41264.565225358834,-352835.872415971,70.195
-40664.565225358834,-352835.872415971,66.035
-40064.565225358834,-352835.872415971,65.89
-39464.565225358834,-352835.872415971,66.2025
-38864.565225358834,-352835.872415971,64.26
-38264.565225358834,-352835.872415971,66.925
-37664.565225358834,-352835.872415971,68.16
-37064.565225358834,-352835.872415971,63.73
-36464.565225358834,-352835.872415971,61.2025
-35864.565225358834,-352835.872415971,62.19
-35264.565225358834,-352835.872415971,62.885
-34664.565225358834,-352835.872415971,64.0925
-34064.565225358834,-352835.872415971,66.19
-33464.565225358834,-352835.872415971,63.75
-32864.565225358834,-352835.872415971,62.8025
-32264.565225358834,-352835.872415971,66.9525
-31664.565225358834,-352835.872415971,64.75
-31064.565225358834,-352835.872415971,66.0775
-30464.565225358834,-352835.872415971,63.5425
-29864.565225358834,-352835.872415971,66.7175
-29264.565225358834,-352835.872415971,64.8625
-28664.565225358834,-352835.872415971,63.4975
-28064.565225358834,-352835.872415971,68.02
-27464.565225358834,-352835.872415971,70.725
-26864.565225358834,-352835.872415971,66.195
-26264.565225358834,-352835.872415971,64.895
-25664.565225358834,-352835.872415971,64.605
-25064.565225358834,-352835.872415971,67.53
-24464.565225358834,-352835.872415971,67.615
-23864.565225358834,-352835.872415971,64.945
-23264.565225358834,-352835.872415971,61.1725
-22664.565225358834,-352835.872415971,63.37
-22064.565225358834,-352835.872415971,65.7675
-21464.565225358834,-352835.872415971,65.8575
-20864.565225358834,-352835.872415971,63.875
-20264.565225358834,-352835.872415971,72.3625
-19664.565225358834,-352835.872415971,82.925
-19064.565225358834,-352835.872415971,66.965
-18464.565225358834,-352835.872415971,65
-17864.565225358834,-352835.872415971,71.805
-17264.565225358834,-352835.872415971,69.2525
-16664.565225358834,-352835.872415971,86.9625
-16064.565225358834,-352835.872415971,75.2875
-15464.565225358834,-352835.872415971,72.695
-14864.565225358834,-352835.872415971,67.99
-14264.565225358834,-352835.872415971,64.355
-13664.565225358834,-352835.872415971,63.595
-13064.565225358834,-352835.872415971,62.0975
-12464.565225358834,-352835.872415971,61.695
-11864.565225358834,-352835.872415971,61.675
-11264.565225358834,-352835.872415971,60.155
-10664.565225358834,-352835.872415971,62.2025
-10064.565225358834,-352835.872415971,59.105
-9464.565225358834,-352835.872415971,57.4375
-8864.565225358834,-352835.872415971,60.155
-8264.565225358834,-352835.872415971,58.935
-7664.565225358834,-352835.872415971,52.1625
-7064.565225358834,-352835.872415971,49.4825
-6464.565225358834,-352835.872415971,52.9125
-5864.565225358834,-352835.872415971,54.2125
-5264.565225358834,-352835.872415971,51.975
-4664.565225358834,-352835.872415971,52.4325
-4064.565225358834,-352835.872415971,51.7825
-3464.565225358834,-352835.872415971,58.745
-2864.565225358834,-352835.872415971,57.68
-2264.565225358834,-352835.872415971,67.45
-1664.5652253588341,-352835.872415971,63.7325
-1064.5652253588341,-352835.872415971,56.9825
-464.56522535883414,-352835.872415971,55.455
135.43477464116586,-352835.872415971,57.485
735.4347746411659,-352835.872415971,59.88
1335.4347746411659,-352835.872415971,56.7375
1935.4347746411659,-352835.872415971,58.925
2535.434774641166,-352835.872415971,62.845
3135.434774641166,-352835.872415971,59.2
3735.434774641166,-352835.872415971,62.0925
4335.434774641166,-352835.872415971,62.1375
4935.434774641166,-352835.872415971,63.8775
5535.434774641166,-352835.872415971,54.3275
6135.434774641166,-352835.872415971,54.8825
6735.434774641166,-352835.872415971,61.4525
7335.434774641166,-352835.872415971,61.825
7935.434774641166,-352835.872415971,65.2025
8535.434774641166,-352835.872415971,60.585
9135.434774641166,-352835.872415971,63.0475
9735.434774641166,-352835.872415971,57.2975
10335.434774641166,-352835.872415971,59.6425
10935.434774641166,-352835.872415971,64.37
11535.434774641166,-352835.872415971,63.9025
12135.434774641166,-352835.872415971,59.45
12735.434774641166,-352835.872415971,66.0675
13335.434774641166,-352835.872415971,65.765
13935.434774641166,-352835.872415971,62.265
14535.434774641166,-352835.872415971,59.4725
15135.434774641166,-352835.872415971,61.6325
15735.434774641166,-352835.872415971,72.4025
16335.434774641166,-352835.872415971,61.9575
16935.434774641166,-352835.872415971,67.4675
17535.434774641166,-352835.872415971,69.6225
18135.434774641166,-352835.872415971,67.3625
18735.434774641166,-352835.872415971,58.5425
19335.434774641166,-352835.872415971,55.7125
19935.434774641166,-352835.872415971,57.23
20535.434774641166,-352835.872415971,56.055
21135.434774641166,-352835.872415971,55.98
21735.434774641166,-352835.872415971,60.22
22335.434774641166,-352835.872415971,55.7525
22935.434774641166,-352835.872415971,70.005
23535.434774641166,-352835.872415971,76.7625
24135.434774641166,-352835.872415971,62.7775
24735.434774641166,-352835.872415971,62.2375
25335.434774641166,-352835.872415971,60.9075
25935.434774641166,-352835.872415971,61.2225
26535.434774641166,-352835.872415971,63.2125
27135.434774641166,-352835.872415971,60.52
27735.434774641166,-352835.872415971,60.01
28335.434774641166,-352835.872415971,57.7125
28935.434774641166,-352835.872415971,61.38
29535.434774641166,-352835.872415971,62.1375
30135.434774641166,-352835.872415971,66.015
30735.434774641166,-352835.872415971,65.1075
31335.434774641166,-352835.872415971,64.89
31935.434774641166,-352835.872415971,63.95
32535.434774641166,-352835.872415971,65.255
33135.434774641166,-352835.872415971,63.4525
33735.434774641166,-352835.872415971,68.0125
34335.434774641166,-352835.872415971,65.795
34935.434774641166,-352835.872415971,64.4425
35535.434774641166,-352835.872415971,65.315
36135.434774641166,-352835.872415971,65.83
36735.434774641166,-352835.872415971,64.92
37335.434774641166,-352835.872415971,69.5775
37935.434774641166,-352835.872415971,74.855
38535.434774641166,-352835.872415971,73.4275
39135.434774641166,-352835.872415971,67.9075
39735.434774641166,-352835.872415971,67.485
40335.434774641166,-352835.872415971,71.3775
40935.434774641166,-352835.872415971,81.6075
41535.434774641166,-352835.872415971,86.82
42135.434774641166,-352835.872415971,72.7
42735.434774641166,-352835.872415971,73.2675
43335.434774641166,-352835.872415971,74.9275
43935.434774641166,-352835.872415971,74.5675
44535.434774641166,-352835.872415971,70.9675
45135.434774641166,-352835.872415971,70.715
45735.434774641166,-352835.872415971,73.6
46335.434774641166,-352835.872415971,82.23
46935.434774641166,-352835.872415971,161.3625
47535.434774641166,-352835.872415971,112.98
48135.434774641166,-352835.872415971,107.565
48735.434774641166,-352835.872415971,104.67
49335.434774641166,-352835.872415971,99.605
49935.434774641166,-352835.872415971,81.1925
50535.434774641166,-352835.872415971,82.9425
51135.434774641166,-352835.872415971,86.79
-59264.565225358834,-353435.872415971,48.2675
-58664.565225358834,-353435.872415971,49.01
-58064.565225358834,-353435.872415971,49.5675
-57464.565225358834,-353435.872415971,50.6225
-56864.565225358834,-353435.872415971,56.495
-56264.565225358834,-353435.872415971,105.0475
-55664.565225358834,-353435.872415971,139.1575
-55064.565225358834,-353435.872415971,119.2975
-54464.565225358834,-353435.872415971,82.98
-53864.565225358834,-353435.872415971,73.1825
-53264.565225358834,-353435.872415971,66.9825
-52664.565225358834,-353435.872415971,66.015
-52064.565225358834,-353435.872415971,67.2
-51464.565225358834,-353435.872415971,73.85
-50864.565225358834,-353435.872415971,73.7975
-50264.565225358834,-353435.872415971,70.055
-49664.565225358834,-353435.872415971,71.795
-49064.565225358834,-353435.872415971,68.55
-48464.565225358834,-353435.872415971,68.2375
-47864.565225358834,-353435.872415971,62.4075
-47264.565225358834,-353435.872415971,65.4925
-46664.565225358834,-353435.872415971,69.8275
-46064.565225358834,-353435.872415971,72.9125
-45464.565225358834,-353435.872415971,65.515
-44864.565225358834,-353435.872415971,63.13
-44264.565225358834,-353435.872415971,64.865
-43664.565225358834,-353435.872415971,71.4625
-43064.565225358834,-353435.872415971,73.0875
-42464.565225358834,-353435.872415971,65.37
-41864.565225358834,-353435.872415971,65.6375
-41264.565225358834,-353435.872415971,67.335
-40664.565225358834,-353435.872415971,65.5375
-40064.565225358834,-353435.872415971,65
-39464.565225358834,-353435.872415971,67.46
-38864.565225358834,-353435.872415971,64.965
-38264.565225358834,-353435.872415971,64.9375
-37664.565225358834,-353435.872415971,63.5175
-37064.565225358834,-353435.872415971,67.405
-36464.565225358834,-353435.872415971,63.325
-35864.565225358834,-353435.872415971,63.8725
-35264.565225358834,-353435.872415971,62.6875
-34664.565225358834,-353435.872415971,63.1825
-34064.565225358834,-353435.872415971,65.6425
-33464.565225358834,-353435.872415971,65.8925
-32864.565225358834,-353435.872415971,63.4
-32264.565225358834,-353435.872415971,63.25
-31664.565225358834,-353435.872415971,63.555
-31064.565225358834,-353435.872415971,62.5975
-30464.565225358834,-353435.872415971,64.6075
-29864.565225358834,-353435.872415971,66.025
-29264.565225358834,-353435.872415971,65.7125
